Student_ID,Login_Frequency,Session_Duration,Quiz_Scores,Assignment_Submissions,Discussion_Forum_Participation,Video_Lecture_Engagement,Exam_Scores,Final_Grade,Dropout_Indicator
S0048,23,72.26,70,1,11,87.71,64,A,0
S0049,20,27.45,75,9,13,43.38,75,B,1
S0050,25,23.22,95,9,2,16.08,86,B,0
S0051,3,47.61,85,5,3,55.8,70,A,0
S0052,5,20.1,72,4,9,81.18,98,B,0
S0053,19,20.36,50,6,5,74.17,80,B,0
S0054,7,44.26,89,7,9,88.15,74,B,0
S0055,21,117.75,64,5,6,27.79,72,C,0
S0056,9,29.29,70,9,12,19.4,73,B,0
S0057,7,11.89,96,3,13,87.98,87,C,0
S0058,18,93.97,58,7,3,65.76,77,C,0
S0059,4,98.76,58,5,7,31.09,70,C,0
S0060,25,48.09,59,7,4,74.23,92,C,0
S0061,28,61.11,75,2,0,81.51,67,C,0
S0062,14,81.48,90,4,3,61.5,85,D,1
S0063,18,15.29,84,2,2,68.79,84,C,0
S0064,26,114.41,74,7,8,37.53,94,C,0
S0065,9,107.53,75,2,7,53.87,58,D,0
S0066,26,38.7,60,1,0,52.42,87,C,0
S0067,21,11.68,87,9,10,84.8,79,B,0
S0068,2,112.68,51,1,5,84.0,93,B,0
S0069,20,65.11,56,8,8,83.27,83,A,0
S0070,28,69.33,67,2,6,1.1,81,D,1
S0071,15,85.24,76,8,3,74.95,52,C,0
S0072,28,77.74,83,3,12,75.87,52,D,0
S0073,7,113.83,76,6,0,67.84,77,C,0
S0074,12,113.87,66,3,11,75.63,93,B,0
S0075,29,105.39,92,7,1,84.2,64,A,0
S0076,8,80.0,93,9,11,47.03,90,C,0
S0077,15,98.1,73,2,4,50.21,72,C,0
S0078,3,84.49,74,5,11,12.47,89,F,0
S0079,14,73.07,56,6,10,38.54,60,B,0
S0080,17,24.14,55,4,4,64.34,97,C,0
S0081,4,99.23,73,4,7,78.04,81,C,0
S0082,18,100.27,82,4,5,21.72,85,C,0
S0083,8,78.85,98,2,7,13.78,82,C,1
S0084,4,100.25,78,4,1,66.3,73,C,0
S0085,2,81.66,92,1,2,0.19,88,B,0
S0086,6,32.74,71,6,5,17.84,83,C,1
S0087,22,40.14,75,1,11,2.91,77,C,0
S0088,10,33.6,77,6,12,16.69,86,D,0
S0089,4,51.5,99,1,9,18.13,56,D,0
S0090,22,14.29,70,6,2,38.77,53,B,0
S0091,29,78.01,98,8,5,40.23,86,B,0
S0092,18,47.02,56,2,5,87.43,50,F,0
S0093,26,82.13,66,2,1,51.01,50,C,0
S0094,12,52.39,69,4,6,72.34,96,D,0
S0095,2,84.98,90,3,11,10.41,69,A,1
S0096,10,47.47,98,4,1,22.54,68,C,0
S0097,4,38.68,69,7,5,70.29,78,D,0
S0098,14,64.56,71,1,0,5.28,59,D,1
S0099,16,86.22,77,6,2,48.66,67,B,0
S0100,15,48.32,89,3,1,59.94,77,C,1
S0101,8,113.03,98,7,6,60.21,84,C,0
S0102,14,14.31,56,2,13,2.29,92,A,0
S0103,23,55.97,50,2,3,32.21,96,C,0
S0104,28,116.43,81,4,7,63.65,80,C,0
S0105,25,70.28,62,1,5,14.9,76,D,0
S0106,8,56.58,79,3,11,69.54,60,B,1
S0107,21,72.54,72,9,9,74.59,98,B,0
S0108,16,73.35,68,7,3,98.2,98,A,0
S0109,13,90.48,81,7,4,20.98,87,B,1
S0110,18,24.05,79,4,12,82.51,54,B,0
S0111,15,37.5,78,2,12,52.03,57,C,0
S0112,21,73.86,98,4,14,37.35,83,B,1
S0113,24,105.38,94,6,14,12.24,97,D,0
S0114,26,71.81,78,3,8,73.55,61,F,0
S0115,25,36.25,79,1,6,23.59,87,C,1
S0116,28,84.78,65,8,9,37.14,50,D,0
S0117,28,91.39,89,5,13,6.25,80,C,0
S0118,28,36.21,68,5,13,80.14,53,C,0
S0119,13,51.55,67,4,8,76.66,98,A,0
S0120,9,68.78,50,6,6,73.36,94,B,1
S0121,29,64.62,63,3,11,29.94,99,C,0
S0122,15,52.86,96,9,0,17.35,54,D,0
S0123,13,42.74,99,5,11,63.76,79,B,0
S0124,1,21.0,51,3,7,49.62,73,D,0
S0125,25,15.88,77,1,3,17.83,52,C,0
S0126,7,115.44,98,6,2,68.59,60,A,0
S0127,9,103.19,99,2,13,99.11,94,F,0
S0128,24,49.04,79,3,12,74.72,53,C,0
S0129,1,115.25,87,1,6,74.0,75,B,0
S0130,12,84.44,53,9,11,95.03,76,C,0
S0131,8,63.08,50,8,2,20.29,95,A,0
S0132,24,64.23,57,2,7,56.55,92,C,0
S0133,11,19.16,78,8,5,97.96,76,B,0
S0134,19,20.09,88,9,4,16.53,91,B,0
S0135,17,76.27,52,1,3,70.03,99,F,0
S0136,8,70.91,81,5,7,58.58,55,C,0
S0137,3,33.4,59,8,7,58.65,64,B,0
S0138,3,114.08,59,2,11,69.77,79,B,0
S0139,1,95.94,68,4,0,92.96,91,D,0
S0140,27,22.48,95,7,8,78.26,86,A,0
S0141,5,112.4,83,3,13,5.61,86,B,1
S0142,10,117.17,82,5,4,85.27,91,A,0
S0143,7,119.55,72,8,3,22.55,86,A,0
S0144,26,16.15,77,3,5,37.69,84,D,1
S0145,9,91.07,81,4,5,46.17,72,C,0
S0146,28,70.05,99,9,1,48.09,55,B,1
S0147,7,87.64,56,7,7,43.52,53,C,0
S0148,9,116.55,78,1,6,93.74,67,B,0
S0149,8,85.68,57,4,0,70.6,58,F,0
S0150,12,102.07,50,4,4,63.12,98,F,0
S0151,2,105.36,52,9,11,4.98,78,B,0
S0152,1,102.23,73,6,5,90.39,62,D,0
S0153,16,56.87,72,9,3,90.94,96,C,0
S0154,23,34.48,57,6,1,78.02,66,B,0
S0155,23,53.63,96,6,12,0.7,94,B,0
S0156,24,108.11,86,5,13,5.73,81,B,0
S0157,5,26.13,52,5,3,22.52,97,C,1
S0158,3,66.47,82,2,0,13.13,71,F,0
S0159,12,35.66,77,8,6,39.88,53,C,0
S0160,8,73.94,96,8,1,92.26,54,D,0
S0161,22,104.95,57,1,12,47.21,86,C,0
S0162,27,106.84,83,8,1,1.34,90,D,0
S0163,3,36.04,84,5,8,28.27,98,C,0
S0164,1,109.85,81,2,4,4.46,62,B,0
S0165,3,75.11,73,2,1,3.63,83,C,0
S0166,5,48.52,63,6,10,27.57,94,D,0
S0167,15,87.9,81,9,8,27.56,71,A,0
S0168,14,62.98,95,1,8,78.71,72,D,0
S0169,3,51.58,92,6,0,97.48,52,A,0
S0170,1,87.56,65,9,10,37.12,91,C,0
S0171,5,37.36,53,8,2,42.89,83,D,0
S0172,26,46.33,86,6,3,84.48,81,B,0
S0173,23,57.79,70,3,13,26.81,94,B,0
S0174,14,37.91,63,8,6,15.64,98,B,0
S0175,7,54.57,80,9,9,85.31,70,D,0
S0176,27,72.86,97,1,3,4.65,95,A,0
S0177,9,91.51,67,9,1,61.97,93,D,0
S0178,15,94.39,56,6,6,56.2,70,A,0
S0179,15,100.51,59,6,5,34.59,93,F,0
S0180,26,91.86,56,4,2,31.52,60,F,0
S0181,10,84.91,82,1,5,77.19,88,B,0
S0182,28,36.13,72,8,10,8.64,53,C,0
S0183,13,54.02,70,2,14,23.68,50,B,0
S0184,19,62.55,68,1,5,73.24,77,C,0
S0185,7,19.12,97,2,11,54.83,73,A,1
S0186,17,68.12,68,1,4,12.8,84,A,0
S0187,20,58.0,85,1,3,88.21,62,A,0
S0188,29,98.23,78,9,9,39.34,96,B,0
S0189,4,117.57,67,1,11,82.79,83,B,0
S0190,5,71.16,51,4,14,78.77,60,C,0
S0191,23,45.5,50,6,0,62.44,85,F,0
S0192,7,14.77,96,7,9,49.45,66,B,0
S0193,13,111.71,54,2,5,97.96,84,C,0
S0194,15,111.1,69,6,1,14.5,67,B,0
S0195,11,37.83,60,7,12,72.52,89,D,1
S0196,29,86.5,91,2,2,19.12,71,D,1
S0197,4,18.3,51,2,13,33.83,73,D,0
S0198,13,28.28,52,7,7,30.87,68,F,0
S0199,7,33.85,72,1,9,94.7,86,A,0
S0200,27,42.39,61,8,13,96.74,88,D,0
S0201,19,119.54,69,3,13,18.3,70,C,0
S0202,22,86.66,54,6,5,2.2,57,B,0
S0203,28,52.26,86,9,2,72.0,77,F,0
S0204,2,91.08,87,6,6,41.8,54,A,1
S0205,10,110.68,79,9,3,8.88,66,C,0
S0206,13,115.46,58,7,13,68.38,86,B,0
S0207,25,16.37,83,9,8,54.51,85,B,0
S0208,21,53.4,93,2,14,98.05,68,C,0
S0209,6,21.74,84,8,4,22.74,76,C,0
S0210,28,46.92,71,8,2,40.4,83,B,0
S0211,28,28.66,93,2,1,54.25,60,B,0
S0212,12,81.15,73,4,10,79.17,94,D,0
S0213,12,52.71,66,7,1,54.88,96,A,0
S0214,20,35.23,59,4,2,61.29,61,B,0
S0215,11,39.25,79,4,1,22.61,70,D,0
S0216,26,49.64,95,6,13,84.69,60,D,0
S0217,23,38.59,72,6,3,42.86,88,B,0
S0218,28,59.86,81,3,1,14.1,77,C,0
S0219,25,13.55,66,9,9,66.42,54,D,0
S0220,7,40.77,99,2,8,21.61,66,D,0
S0221,1,55.23,66,6,1,9.76,69,C,1
S0222,1,76.31,63,7,8,86.2,90,B,0
S0223,25,39.81,58,9,12,46.02,95,B,0
S0224,27,24.65,89,3,5,74.93,61,B,0
S0225,25,18.38,51,3,0,29.06,55,C,0
S0226,20,113.46,94,7,3,78.7,66,A,0
S0227,13,55.83,74,4,14,11.19,68,C,0
S0228,9,73.93,88,8,13,35.6,75,B,0
S0229,3,111.11,58,7,0,97.81,97,B,0
S0230,7,19.1,71,5,13,79.4,93,D,1
S0231,6,106.43,92,7,5,49.73,93,B,0
S0232,8,70.67,95,3,13,33.98,81,A,0
S0233,27,28.13,53,2,12,87.21,55,D,1
S0234,9,55.24,75,6,3,54.48,85,A,0
S0235,5,95.54,78,2,2,75.84,87,C,0
S0236,1,62.84,94,3,2,75.41,60,C,0
S0237,19,118.38,83,6,8,1.79,82,B,0
S0238,10,51.44,72,5,5,12.63,73,D,0
S0239,12,92.45,86,8,8,65.96,72,C,0
S0240,24,53.23,60,9,12,16.16,64,B,0
S0241,15,101.21,55,3,4,25.55,76,A,0
S0242,27,72.6,67,3,1,94.66,60,B,0
S0243,22,16.99,70,3,7,56.02,99,D,0
S0244,24,14.05,91,6,4,75.07,66,B,0
S0245,9,24.72,85,1,1,55.8,63,C,1
S0246,20,11.5,90,7,3,55.25,76,C,0
S0247,17,18.29,87,1,8,9.42,67,C,1
S0248,17,86.09,83,5,14,34.37,77,A,1
S0249,26,68.78,66,8,3,28.24,96,B,0
S0250,20,92.49,86,4,12,39.07,96,C,0
S0251,12,110.45,74,5,11,79.83,53,B,0
S0252,7,74.37,87,4,11,37.19,56,B,0
S0253,2,89.87,61,4,11,45.17,94,A,0
S0254,3,93.28,72,8,12,39.74,84,B,0
S0255,17,51.56,91,2,14,9.34,97,D,0
S0256,5,36.52,71,1,13,44.11,58,A,1
S0257,17,32.55,70,3,3,19.56,57,A,1
S0258,24,37.66,76,9,1,18.67,94,B,0
S0259,17,40.22,80,4,12,9.4,66,C,0
S0260,27,32.8,55,5,11,35.67,66,C,0
S0261,17,106.6,76,2,14,75.75,98,B,0
S0262,2,93.27,89,4,5,27.64,82,C,0
S0263,2,15.16,83,2,12,31.23,81,C,0
S0264,28,39.55,61,2,10,64.27,57,D,0
S0265,22,12.44,94,4,13,19.58,68,D,1
S0266,23,64.8,56,6,1,89.7,87,B,0
S0267,5,62.38,59,7,11,52.02,52,B,0
S0268,1,101.45,94,3,6,44.76,54,A,0
S0269,1,43.86,66,3,2,55.78,62,B,0
S0270,19,99.8,75,6,14,16.6,96,F,0
S0271,2,116.48,70,3,2,61.35,95,B,1
S0272,21,19.72,77,2,4,36.31,80,B,0
S0273,12,97.1,95,8,2,89.72,65,C,0
S0274,26,74.9,51,5,1,16.89,99,C,0
S0275,6,62.81,92,1,9,50.71,81,A,0
S0276,23,56.26,50,3,8,59.81,71,B,0
S0277,4,96.31,85,8,1,3.34,78,B,0
S0278,23,80.33,75,4,13,36.37,71,C,0
S0279,11,98.55,78,7,10,73.26,92,A,0
S0280,24,109.35,70,2,1,82.04,52,B,0
S0281,27,77.9,60,7,12,31.32,59,C,0
S0282,17,117.85,89,5,14,79.86,91,B,1
S0283,6,76.89,60,5,7,96.78,70,C,0
S0284,24,80.03,85,6,14,85.69,65,B,0
S0285,5,71.03,98,9,8,11.76,61,B,0
S0286,20,20.01,88,6,6,73.97,51,D,0
S0287,2,89.9,89,8,2,31.97,90,C,0
S0288,6,70.22,84,7,8,98.84,73,A,0
S0289,22,59.6,83,9,2,48.54,84,C,0
S0290,11,110.15,96,4,4,12.24,79,C,1
S0291,16,42.78,73,2,8,72.52,79,C,0
S0292,16,67.6,71,7,11,32.3,96,A,1
S0293,1,86.74,54,6,13,99.71,84,F,0
S0294,9,97.61,82,1,13,97.98,68,B,1
S0295,28,60.53,85,9,2,65.61,99,A,0
S0296,27,102.63,96,9,6,12.98,57,A,0
S0297,6,94.58,69,2,11,68.69,75,A,1
S0298,16,17.29,68,3,0,9.3,98,D,0
S0299,29,15.04,84,5,3,2.94,89,A,1
S0300,3,78.29,92,5,3,82.3,56,A,0
S0301,20,48.22,66,1,6,20.98,79,D,0
S0302,28,33.0,94,8,7,37.9,56,B,0
S0303,27,73.76,92,8,0,97.35,52,A,1
S0304,4,47.57,83,4,4,33.68,50,A,0
S0305,19,69.1,58,7,6,29.65,85,A,0
S0306,26,60.61,75,3,11,91.82,74,B,0
S0307,3,74.32,51,6,3,11.07,86,C,0
S0308,19,54.03,58,9,12,75.96,50,A,0
S0309,20,86.74,58,1,3,98.81,64,A,0
S0310,7,29.81,89,5,3,90.13,86,C,0
S0311,20,86.62,66,4,11,65.17,62,C,0
S0312,9,55.28,50,8,5,31.41,89,B,0
S0313,1,106.17,74,1,6,25.43,57,C,1
S0314,8,66.68,92,9,1,81.93,54,B,0
S0315,7,117.04,89,6,14,87.98,58,B,0
S0316,18,76.21,91,4,4,52.54,50,C,0
S0317,8,34.62,74,9,3,24.43,85,B,0
S0318,1,100.4,88,5,14,11.29,84,D,0
S0319,11,47.96,84,5,13,8.72,51,A,0
S0320,28,48.24,52,5,12,71.91,89,C,0
S0321,25,13.5,99,1,2,42.01,72,A,1
S0322,25,70.36,86,1,6,90.54,58,C,0
S0323,18,68.79,93,8,10,73.97,83,C,1
S0324,23,49.16,93,8,11,19.13,95,D,1
S0325,10,108.36,79,6,5,61.38,63,A,0
S0326,3,24.16,87,4,13,43.55,53,C,0
S0327,7,46.31,83,2,6,57.72,79,C,0
S0328,28,45.37,61,2,4,73.81,80,C,0
S0329,16,20.15,68,9,12,80.62,87,C,0
S0330,26,62.93,86,5,5,84.37,60,C,0
S0331,16,85.66,93,4,4,25.4,84,B,0
S0332,25,66.28,98,1,13,3.11,57,B,0
S0333,20,27.27,66,7,6,73.93,52,B,0
S0334,28,51.5,59,3,1,10.63,63,A,0
S0335,17,10.29,98,6,13,31.49,62,F,1
S0336,2,105.51,96,5,10,0.38,94,C,0
S0337,1,19.3,61,5,4,68.17,81,F,0
S0338,16,75.7,65,5,5,16.71,83,B,0
S0339,12,118.49,73,1,5,65.53,94,D,0
S0340,5,69.02,68,1,14,99.17,68,D,0
S0341,5,111.64,57,3,4,7.27,87,C,1
S0342,27,35.97,80,4,9,7.71,65,C,0
S0343,23,93.6,70,5,6,34.04,51,B,0
S0344,9,68.44,66,2,9,86.64,89,D,0
S0345,9,89.26,72,8,7,21.55,66,C,1
S0346,3,16.86,86,2,6,36.04,83,A,0
S0347,19,26.25,65,9,4,6.85,91,B,0
S0348,16,24.64,55,2,0,76.32,65,D,0
S0349,16,85.59,57,9,12,40.83,87,D,0
S0350,3,102.89,74,7,4,75.92,51,F,0
S0351,20,92.46,67,8,9,90.36,51,C,0
S0352,24,13.35,74,2,1,23.28,75,B,1
S0353,22,105.39,61,7,12,80.74,62,A,0
S0354,24,48.96,64,6,4,5.91,96,A,0
S0355,1,53.69,75,4,4,89.88,80,A,0
S0356,24,21.54,90,7,1,65.08,83,B,0
S0357,20,91.11,94,4,4,87.42,88,A,0
S0358,11,30.05,75,2,12,0.02,52,B,0
S0359,17,72.04,96,7,3,16.91,57,D,1
S0360,8,102.48,81,8,0,38.98,72,B,0
S0361,4,19.81,59,2,2,37.95,63,D,0
S0362,6,68.89,65,5,0,22.67,76,C,0
S0363,8,35.65,56,1,11,38.16,78,B,0
S0364,20,47.72,66,7,10,12.88,88,B,0
S0365,3,62.14,72,8,14,41.28,88,A,0
S0366,16,49.06,75,6,4,80.24,50,B,0
S0367,25,81.37,70,5,3,47.91,66,C,1
S0368,3,62.75,71,6,6,1.8,90,A,0
S0369,25,74.26,56,2,4,42.14,79,B,0
S0370,29,91.05,63,1,9,2.72,62,B,0
S0371,18,71.35,64,7,13,96.62,70,F,1
S0372,14,74.52,56,7,3,12.75,68,C,0
S0373,18,72.09,58,2,1,70.77,68,C,0
S0374,2,51.66,97,2,3,97.28,74,A,0
S0375,22,47.12,57,1,11,82.6,71,C,0
S0376,3,108.96,99,8,1,69.93,80,C,0
S0377,16,76.83,72,8,7,83.95,66,C,0
S0378,29,36.88,78,1,2,98.18,72,F,0
S0379,9,64.81,67,8,8,62.13,81,B,0
S0380,4,46.34,80,9,12,55.92,59,D,0
S0381,1,112.71,79,4,3,62.82,59,D,0
S0382,4,10.83,88,1,12,53.27,85,A,0
S0383,1,34.79,84,1,5,63.51,57,B,0
S0384,14,50.19,67,3,9,44.98,69,F,1
S0385,21,63.66,91,5,4,21.84,81,A,0
S0386,16,103.59,88,5,9,12.02,99,C,1
S0387,20,19.67,66,9,12,6.83,63,F,0
S0388,24,98.65,63,2,0,26.33,99,C,0
S0389,8,16.12,80,2,8,4.61,77,A,1
S0390,7,102.65,73,6,0,56.72,95,C,0
S0391,3,15.68,84,9,7,28.38,73,B,0
S0392,17,12.01,93,1,8,82.45,64,C,0
S0393,1,86.67,94,9,8,7.42,71,A,0
S0394,16,119.7,83,9,0,22.64,79,C,0
S0395,12,108.63,52,9,1,73.02,53,C,0
S0396,27,73.36,86,5,11,59.88,62,C,0
S0397,19,110.91,92,9,12,6.45,72,C,0
S0398,22,10.58,89,4,0,87.72,57,C,0
S0399,23,117.26,75,2,9,87.73,67,C,0
S0400,22,63.98,72,6,1,33.04,61,A,0
S0401,14,89.52,93,4,9,34.04,80,C,0
S0402,6,100.29,88,6,11,98.9,63,A,1
S0403,6,89.03,64,3,7,62.62,83,D,0
S0404,13,68.85,98,6,4,53.13,67,A,1
S0405,19,62.43,53,2,11,83.82,83,B,0
S0406,22,102.24,78,2,10,28.53,60,C,0
S0407,8,32.56,71,9,6,42.92,90,B,0
S0408,27,116.48,74,7,1,26.78,61,A,0
S0409,27,88.2,62,3,7,78.92,98,C,0
S0410,2,31.95,67,1,10,57.33,64,C,0
S0411,21,90.99,82,8,5,65.88,80,C,0
S0412,1,68.28,65,6,7,25.23,98,B,1
S0413,28,87.8,94,7,0,22.02,78,C,0
S0414,15,94.46,91,9,14,48.84,75,B,0
S0415,1,19.6,93,5,0,73.76,67,C,0
S0416,5,65.67,51,1,11,52.52,81,C,0
S0417,28,112.52,84,7,6,3.26,71,C,0
S0418,29,45.27,91,5,7,86.86,87,B,0
S0419,16,75.33,83,3,12,6.47,66,A,1
S0420,19,50.62,79,9,2,95.58,72,A,0
S0421,4,59.97,62,1,4,2.51,73,A,0
S0422,3,70.35,62,1,11,69.45,99,B,0
S0423,17,70.38,67,1,0,8.22,57,C,0
S0424,17,32.19,81,3,6,91.07,90,B,0
S0425,12,85.3,81,6,4,46.44,55,D,0
S0426,28,19.67,84,3,7,13.75,54,A,0
S0427,29,25.27,88,8,12,34.08,93,C,0
S0428,14,10.3,95,2,7,16.48,78,C,0
S0429,21,22.84,78,9,8,17.06,77,B,0
S0430,6,62.05,98,3,6,94.81,60,A,0
S0431,3,76.67,78,5,10,44.52,50,C,0
S0432,28,97.37,93,8,0,78.88,92,B,0
S0433,9,21.74,65,2,12,63.96,68,D,1
S0434,5,103.58,93,6,2,67.64,58,C,1
S0435,24,92.06,96,5,7,13.17,76,D,0
S0436,29,54.94,59,9,2,23.42,83,B,0
S0437,17,112.62,79,5,7,78.68,93,C,0
S0438,14,119.0,74,2,0,97.08,53,C,0
S0439,21,32.55,88,5,4,26.27,85,C,1
S0440,3,51.72,69,4,3,27.16,67,B,0
S0441,28,111.91,54,7,4,47.29,64,C,1
S0442,1,89.38,50,6,7,98.38,62,B,1
S0443,20,15.29,79,2,9,26.9,68,C,0
S0444,29,95.97,98,5,14,40.7,98,B,0
S0445,21,101.07,52,7,13,89.15,55,D,0
S0446,23,92.56,94,7,3,0.29,97,A,1
S0447,1,97.95,63,5,10,3.98,61,D,0
S0448,3,100.76,79,9,3,60.41,86,D,1
S0449,18,30.5,99,4,14,90.74,66,D,0
S0450,25,35.93,53,3,2,23.89,72,C,0
S0451,10,79.71,67,4,6,46.96,75,B,1
S0452,22,109.87,86,5,2,45.05,78,F,0
S0453,26,44.78,74,6,11,47.3,82,B,0
S0454,3,74.71,97,3,2,62.25,76,C,0
S0455,8,85.13,50,2,10,46.97,74,C,0
S0456,14,59.71,95,4,9,44.75,59,C,0
S0457,24,88.52,64,5,4,47.43,96,B,0
S0458,18,108.96,58,4,4,59.09,72,C,1
S0459,15,78.65,64,3,13,53.7,70,D,1
S0460,22,69.38,98,8,5,85.41,70,A,0
S0461,23,58.26,73,4,7,4.95,92,D,0
S0462,2,73.52,53,2,9,83.33,62,A,0
S0463,27,49.09,61,2,5,84.39,86,B,0
S0464,10,53.06,86,1,14,28.49,82,A,1
S0465,2,68.5,86,4,11,46.29,73,A,0
S0466,26,17.33,92,9,0,43.85,93,D,0
S0467,17,35.19,55,7,14,21.85,60,B,0
S0468,8,69.71,88,7,7,39.68,66,B,0
S0469,1,57.47,95,7,7,4.44,53,B,0
S0470,9,46.61,73,8,8,27.78,96,C,0
S0471,11,90.36,60,1,8,81.67,74,C,0
S0472,22,86.31,62,8,1,28.46,79,B,0
S0473,16,28.34,83,4,14,81.82,58,B,0
S0474,7,106.65,74,4,1,53.16,70,D,0
S0475,29,64.5,56,4,2,87.99,69,B,0
S0476,10,91.56,53,6,0,57.48,68,B,0
S0477,23,73.05,57,7,3,2.97,68,B,0
S0478,26,119.75,69,6,13,67.54,61,C,0
S0479,3,92.76,78,1,3,4.49,86,B,0
S0480,18,87.77,94,8,13,45.06,91,C,0
S0481,25,95.64,95,7,8,92.94,66,B,1
S0482,24,25.74,59,6,8,16.52,86,F,1
S0483,13,32.5,92,6,8,38.99,97,B,0
S0484,28,88.55,83,5,9,72.99,88,C,1
S0485,26,64.34,75,6,6,88.23,77,B,0
S0486,7,93.01,90,9,13,67.09,90,B,0
S0487,25,21.32,98,9,14,25.82,84,C,0
S0488,4,69.01,52,8,1,67.46,96,B,0
S0489,13,51.67,55,9,9,29.67,97,D,0
S0490,20,60.27,54,8,4,71.84,67,D,0
S0491,1,76.44,54,8,3,95.4,63,D,0
S0492,8,65.25,96,1,11,72.14,84,A,0
S0493,14,69.38,72,5,10,86.29,93,C,0
S0494,16,63.5,98,4,7,0.21,90,B,1
S0495,14,54.99,58,2,1,71.76,56,D,0
S0496,12,94.91,84,8,5,82.96,90,C,0
S0497,19,11.34,69,3,12,4.06,62,D,0
S0498,23,75.83,98,4,4,87.16,67,B,0
S0499,15,72.21,91,7,14,25.67,86,C,0
S0500,28,88.78,84,9,11,66.53,62,A,0
